2017-11-16 12:18:13 INFO  loginFile:145 - Login Successfull
2017-11-18 10:51:09 INFO  loginFile:98 - Registration successfull
2017-11-18 10:53:54 INFO  loginFile:106 - User already exits
2017-11-18 10:53:59 INFO  loginFile:98 - Registration successfull
2017-11-18 10:55:56 INFO  loginFile:98 - Registration successfull
2017-11-18 10:59:18 INFO  loginFile:98 - Registration successfull
2017-11-18 13:31:20 INFO  loginFile:176 - Login Successfull
2017-11-18 14:34:15 INFO  loginFile:176 - Login Successfull
2017-11-18 15:18:02 INFO  loginFile:176 - Login Successfull
2017-11-18 17:15:51 INFO  loginFile:176 - Login Successfull
2017-11-18 17:18:56 INFO  loginFile:176 - Login Successfull
2017-11-18 18:41:29 INFO  loginFile:98 - Registration successfull
2017-11-18 18:59:30 INFO  loginFile:106 - User already exits
2017-11-18 19:03:51 INFO  loginFile:106 - User already exits
2017-11-18 19:06:31 INFO  loginFile:106 - User already exits
2017-11-18 19:08:16 INFO  loginFile:99 - Registration successfull
2017-11-18 19:09:39 INFO  loginFile:107 - User already exits
2017-11-20 09:59:45 INFO  loginFile:99 - Registration successfull
2017-11-20 10:01:45 INFO  loginFile:99 - Registration successfull
2017-11-20 10:13:12 INFO  loginFile:99 - Registration successfull
2017-11-20 10:15:02 WARN  loginFile:114 - Error occure
2017-11-20 10:15:31 WARN  loginFile:114 - Error occure
2017-11-20 10:16:07 INFO  loginFile:99 - Registration successfull
2017-11-20 10:20:17 WARN  loginFile:114 - Error occure
2017-11-20 10:21:12 WARN  loginFile:114 - Error occure
2017-11-20 10:21:16 WARN  loginFile:114 - Error occure
2017-11-20 10:21:21 WARN  loginFile:114 - Error occure
2017-11-20 10:21:34 INFO  loginFile:99 - Registration successfull
2017-11-20 10:23:29 INFO  loginFile:99 - Registration successfull
2017-11-20 10:24:29 INFO  loginFile:99 - Registration successfull
2017-11-20 10:25:51 INFO  loginFile:99 - Registration successfull
2017-11-20 10:28:41 INFO  loginFile:99 - Registration successfull
2017-11-20 10:29:14 INFO  loginFile:99 - Registration successfull
2017-11-20 10:30:06 INFO  loginFile:177 - Login Successfull
2017-11-20 10:42:53 INFO  loginFile:177 - Login Successfull
2017-11-20 12:00:47 WARN  loginFile:97 - User data already exists in database
2017-11-20 12:00:47 INFO  loginFile:112 - login successfull
2017-11-20 12:03:29 WARN  loginFile:97 - User data already exists in database
2017-11-20 12:03:29 INFO  loginFile:112 - login successfull
2017-11-20 12:03:40 WARN  loginFile:97 - User data already exists in database
2017-11-20 12:03:40 INFO  loginFile:112 - login successfull
2017-11-20 12:04:14 INFO  loginFile:177 - Login Successfull
2017-11-20 12:09:20 INFO  loginFile:107 - User already exits
2017-11-20 12:11:14 INFO  loginFile:177 - Login Successfull
2017-11-20 18:33:25 INFO  loginFile:177 - Login Successfull
2017-11-20 18:41:16 INFO  loginFile:177 - Login Successfull
2017-11-21 09:32:30 INFO  loginFile:178 - Login Successfull
2017-12-01 10:14:02 INFO  loginFile:182 - Login Successfull
2017-12-01 10:41:30 WARN  loginFile:98 - User data already exists in database
2017-12-01 10:53:04 WARN  loginFile:98 - User data already exists in database
2017-12-01 10:55:36 WARN  loginFile:98 - User data already exists in database
2017-12-01 11:03:07 WARN  loginFile:98 - User data already exists in database
2017-12-01 11:11:07 WARN  loginFile:98 - User data already exists in database
2017-12-01 11:45:29 INFO  loginFile:182 - Login Successfull
2017-12-01 11:56:50 INFO  loginFile:182 - Login Successfull
2017-12-01 11:57:56 INFO  loginFile:182 - Login Successfull
2017-12-01 11:58:04 INFO  loginFile:182 - Login Successfull
2017-12-01 11:59:00 INFO  loginFile:182 - Login Successfull
2017-12-01 12:10:48 INFO  loginFile:182 - Login Successfull
2017-12-01 12:12:14 INFO  loginFile:182 - Login Successfull
2017-12-01 12:13:34 INFO  loginFile:182 - Login Successfull
2017-12-01 12:14:15 WARN  loginFile:98 - User data already exists in database
2017-12-01 12:18:02 INFO  loginFile:182 - Login Successfull
2017-12-01 12:18:17 WARN  loginFile:98 - User data already exists in database
2017-12-01 12:18:30 INFO  loginFile:182 - Login Successfull
2017-12-01 14:54:20 INFO  loginFile:182 - Login Successfull
2017-12-01 15:26:25 WARN  loginFile:98 - User data already exists in database
2017-12-01 15:31:51 INFO  loginFile:182 - Login Successfull
2017-12-01 16:25:17 INFO  loginFile:182 - Login Successfull
2017-12-01 16:55:26 WARN  loginFile:98 - User data already exists in database
2017-12-01 16:56:02 INFO  loginFile:182 - Login Successfull
2017-12-01 18:05:20 INFO  loginFile:182 - Login Successfull
2017-12-01 18:37:33 WARN  loginFile:98 - User data already exists in database
2017-12-01 18:37:54 INFO  loginFile:182 - Login Successfull
2017-12-01 18:45:20 INFO  loginFile:182 - Login Successfull
2017-12-01 18:46:47 WARN  loginFile:98 - User data already exists in database
2017-12-01 18:47:24 INFO  loginFile:182 - Login Successfull
2017-12-01 18:53:26 INFO  loginFile:182 - Login Successfull
2017-12-01 19:29:38 INFO  loginFile:182 - Login Successfull
2017-12-02 09:47:12 INFO  loginFile:182 - Login Successfull
2017-12-02 10:49:18 INFO  loginFile:182 - Login Successfull
2017-12-02 11:16:29 INFO  loginFile:182 - Login Successfull
2017-12-02 11:49:55 INFO  loginFile:182 - Login Successfull
2017-12-02 11:50:04 INFO  loginFile:182 - Login Successfull
2017-12-02 11:50:33 INFO  loginFile:182 - Login Successfull
2017-12-02 11:51:47 INFO  loginFile:182 - Login Successfull
2017-12-02 11:52:50 INFO  loginFile:182 - Login Successfull
2017-12-02 11:56:51 WARN  loginFile:98 - User data already exists in database
2017-12-02 12:08:01 INFO  loginFile:182 - Login Successfull
2017-12-02 14:36:29 INFO  loginFile:182 - Login Successfull
2017-12-02 15:42:13 INFO  loginFile:182 - Login Successfull
2017-12-02 16:01:12 INFO  loginFile:104 - Registration successfull
2017-12-02 16:03:39 INFO  loginFile:182 - Login Successfull
2017-12-02 16:04:29 WARN  loginFile:98 - User data already exists in database
2017-12-02 16:04:40 INFO  loginFile:182 - Login Successfull
2017-12-02 17:06:40 INFO  loginFile:182 - Login Successfull
2017-12-02 18:06:32 INFO  loginFile:182 - Login Successfull
2017-12-02 19:08:19 INFO  loginFile:182 - Login Successfull
2017-12-04 09:48:34 INFO  loginFile:182 - Login Successfull
2017-12-04 09:52:24 INFO  loginFile:182 - Login Successfull
2017-12-04 10:19:24 INFO  loginFile:182 - Login Successfull
2017-12-04 11:11:41 WARN  loginFile:98 - User data already exists in database
2017-12-04 11:12:27 INFO  loginFile:182 - Login Successfull
2017-12-04 12:07:44 WARN  loginFile:98 - User data already exists in database
2017-12-04 12:08:08 INFO  loginFile:182 - Login Successfull
2017-12-04 12:17:10 INFO  loginFile:182 - Login Successfull
2017-12-04 12:28:16 INFO  loginFile:182 - Login Successfull
2017-12-04 13:21:06 INFO  loginFile:182 - Login Successfull
2017-12-04 14:34:10 INFO  loginFile:182 - Login Successfull
2017-12-04 15:01:40 INFO  loginFile:182 - Login Successfull
2017-12-04 16:02:27 INFO  loginFile:182 - Login Successfull
2017-12-04 17:03:07 INFO  loginFile:182 - Login Successfull
2017-12-04 18:11:17 INFO  loginFile:182 - Login Successfull
2017-12-04 18:55:54 WARN  loginFile:98 - User data already exists in database
2017-12-04 18:56:04 INFO  loginFile:182 - Login Successfull
2017-12-04 18:59:59 WARN  loginFile:98 - User data already exists in database
2017-12-04 19:00:16 INFO  loginFile:182 - Login Successfull
2017-12-05 10:33:40 INFO  loginFile:182 - Login Successfull
2017-12-05 11:33:49 INFO  loginFile:182 - Login Successfull
2017-12-05 13:12:31 INFO  loginFile:182 - Login Successfull
2017-12-05 14:28:19 INFO  loginFile:182 - Login Successfull
2017-12-05 15:31:19 INFO  loginFile:182 - Login Successfull
2017-12-05 15:43:10 INFO  loginFile:182 - Login Successfull
2017-12-05 17:04:24 INFO  loginFile:182 - Login Successfull
2017-12-05 17:39:03 INFO  loginFile:182 - Login Successfull
2017-12-05 18:40:14 INFO  loginFile:182 - Login Successfull
2017-12-05 18:40:44 WARN  loginFile:98 - User data already exists in database
2017-12-05 18:41:48 INFO  loginFile:182 - Login Successfull
2017-12-05 18:53:39 WARN  loginFile:98 - User data already exists in database
2017-12-06 10:13:55 INFO  loginFile:182 - Login Successfull
2017-12-06 11:18:36 INFO  loginFile:182 - Login Successfull
2017-12-06 12:39:21 INFO  loginFile:182 - Login Successfull
2017-12-06 14:54:52 INFO  loginFile:182 - Login Successfull
2017-12-06 15:49:26 INFO  loginFile:182 - Login Successfull
2017-12-06 16:02:59 INFO  loginFile:182 - Login Successfull
2017-12-06 17:00:32 INFO  loginFile:182 - Login Successfull
2017-12-06 17:20:41 INFO  loginFile:182 - Login Successfull
2017-12-06 18:21:51 INFO  loginFile:182 - Login Successfull
2017-12-07 11:27:41 INFO  loginFile:182 - Login Successfull
2017-12-07 12:30:56 INFO  loginFile:182 - Login Successfull
2017-12-07 14:47:09 INFO  loginFile:182 - Login Successfull
2017-12-07 15:48:03 INFO  loginFile:182 - Login Successfull
2017-12-07 15:53:50 INFO  loginFile:182 - Login Successfull
2017-12-07 16:52:35 INFO  loginFile:182 - Login Successfull
2017-12-07 17:52:46 INFO  loginFile:182 - Login Successfull
2017-12-07 18:54:41 INFO  loginFile:183 - Login Successfull
2017-12-07 19:09:28 WARN  loginFile:98 - User data already exists in database
2017-12-08 11:17:40 INFO  loginFile:192 - Invalid password or email
2017-12-08 11:17:56 WARN  loginFile:98 - User data already exists in database
2017-12-08 11:42:38 INFO  loginFile:105 - Registration successfull
2017-12-08 11:43:00 INFO  loginFile:183 - Login Successfull
2017-12-08 11:43:22 INFO  loginFile:183 - Login Successfull
2017-12-08 12:59:36 INFO  loginFile:183 - Login Successfull
2017-12-08 13:06:28 INFO  loginFile:192 - Invalid password or email
2017-12-08 13:06:35 INFO  loginFile:183 - Login Successfull
2017-12-08 14:44:39 INFO  loginFile:183 - Login Successfull
2017-12-08 15:59:14 INFO  loginFile:183 - Login Successfull
2017-12-08 17:00:26 INFO  loginFile:183 - Login Successfull
2017-12-08 17:12:27 INFO  loginFile:183 - Login Successfull
2017-12-08 17:23:58 INFO  loginFile:183 - Login Successfull
2017-12-08 17:33:07 WARN  loginFile:93 - User data already exists in database
2017-12-08 17:35:23 WARN  loginFile:93 - User data already exists in database
2017-12-08 17:35:40 WARN  loginFile:98 - User data already exists in database
2017-12-08 17:35:50 WARN  loginFile:93 - User data already exists in database
2017-12-08 17:39:42 INFO  loginFile:105 - Registration successfull
2017-12-08 17:40:14 INFO  loginFile:183 - Login Successfull
2017-12-08 17:40:48 WARN  loginFile:93 - User data already exists in database
2017-12-08 17:42:53 INFO  loginFile:183 - Login Successfull
2017-12-08 17:43:27 INFO  loginFile:183 - Login Successfull
2017-12-08 17:46:32 INFO  loginFile:183 - Login Successfull
2017-12-08 18:01:34 INFO  loginFile:183 - Login Successfull
2017-12-08 19:02:04 INFO  loginFile:183 - Login Successfull
